Timestamp,Sensor 1 (mm),Sensor 2 (mm)
2025-07-12 18:31:12.510,135.0,166.2841796875
2025-07-12 18:31:12.544,135.0,166.357421875
2025-07-12 18:31:12.578,135.0,166.6015625
2025-07-12 18:31:12.612,135.0,166.6015625
2025-07-12 18:31:12.647,135.0,166.5771484375
2025-07-12 18:31:12.681,135.0,166.5771484375
2025-07-12 18:31:12.715,135.0,166.40625
2025-07-12 18:31:12.750,135.0,166.357421875
2025-07-12 18:31:12.784,135.0,166.50390625
2025-07-12 18:31:12.819,135.0,166.4794921875
2025-07-12 18:31:12.853,135.0,166.4794921875
2025-07-12 18:31:12.886,135.0,166.50390625
2025-07-12 18:31:12.920,135.0,166.4306640625
2025-07-12 18:31:12.954,135.0,166.4306640625
2025-07-12 18:31:12.989,135.0,166.2841796875
2025-07-12 18:31:13.024,135.0,166.2841796875
2025-07-12 18:31:13.058,135.0,166.2841796875
2025-07-12 18:31:13.092,135.0,166.357421875
2025-07-12 18:31:13.126,135.0,166.40625
2025-07-12 18:31:13.160,135.0,166.50390625
2025-07-12 18:31:13.194,135.0,166.5283203125
2025-07-12 18:31:13.228,135.0,166.5283203125
2025-07-12 18:31:13.262,135.0,166.4794921875
2025-07-12 18:31:13.296,135.0,166.357421875
2025-07-12 18:31:13.329,135.0,166.455078125
2025-07-12 18:31:13.363,135.0,166.748046875
2025-07-12 18:31:13.397,135.0,166.748046875
2025-07-12 18:31:13.431,135.0,166.69921875
2025-07-12 18:31:13.465,135.0,166.650390625
2025-07-12 18:31:13.499,135.0,166.50390625
2025-07-12 18:31:13.533,135.0,166.4306640625
2025-07-12 18:31:13.567,135.0,166.357421875
2025-07-12 18:31:13.601,135.0,166.357421875
2025-07-12 18:31:13.635,135.0,166.4306640625
2025-07-12 18:31:13.669,135.0,166.6748046875
2025-07-12 18:31:13.702,135.0,166.7724609375
2025-07-12 18:31:13.736,135.0,166.796875
2025-07-12 18:31:13.770,135.0,166.796875
2025-07-12 18:31:13.803,135.0,166.6259765625
2025-07-12 18:31:13.838,135.0,166.455078125
2025-07-12 18:31:13.872,135.0,166.357421875
2025-07-12 18:31:13.906,135.0,166.357421875
2025-07-12 18:31:13.940,135.0,166.50390625
2025-07-12 18:31:13.974,135.0,166.4306640625
2025-07-12 18:31:14.009,135.0,166.357421875
2025-07-12 18:31:14.043,135.0,166.259765625
2025-07-12 18:31:14.076,135.0,166.1865234375
2025-07-12 18:31:14.111,135.0,166.2353515625
2025-07-12 18:31:14.145,135.0,166.3330078125
2025-07-12 18:31:14.179,135.0,166.40625
2025-07-12 18:31:14.213,135.0,166.455078125
2025-07-12 18:31:14.247,135.0,166.5283203125
2025-07-12 18:31:14.281,135.0,166.5283203125
2025-07-12 18:31:14.315,135.0,166.5283203125
2025-07-12 18:31:14.350,135.0,166.6015625
2025-07-12 18:31:14.383,135.0,166.5771484375
2025-07-12 18:31:14.417,135.0,166.4794921875
2025-07-12 18:31:14.452,135.0,166.455078125
2025-07-12 18:31:14.486,135.0,166.455078125
2025-07-12 18:31:14.520,135.0,166.455078125
2025-07-12 18:31:14.554,135.0,166.40625
2025-07-12 18:31:14.588,135.0,166.30859375
2025-07-12 18:31:14.622,135.0,166.30859375
2025-07-12 18:31:14.656,135.0,166.4306640625
2025-07-12 18:31:14.690,135.0,166.552734375
2025-07-12 18:31:14.724,135.0,166.8212890625
2025-07-12 18:31:14.758,135.0,166.8212890625
2025-07-12 18:31:14.792,135.0,166.8212890625
2025-07-12 18:31:14.826,135.0,166.7724609375
2025-07-12 18:31:14.860,135.0,166.6259765625
2025-07-12 18:31:14.894,135.0,166.6259765625
2025-07-12 18:31:14.928,135.0,166.6015625
2025-07-12 18:31:14.962,135.0,166.50390625
2025-07-12 18:31:14.997,135.0,166.4306640625
2025-07-12 18:31:15.031,135.0,166.3818359375
2025-07-12 18:31:15.065,135.0,166.357421875
2025-07-12 18:31:15.099,135.0,166.455078125
2025-07-12 18:31:15.133,135.0,166.5283203125
2025-07-12 18:31:15.167,135.0,166.4306640625
2025-07-12 18:31:15.201,135.0,166.3818359375
2025-07-12 18:31:15.235,135.0,166.4794921875
2025-07-12 18:31:15.269,135.0,166.552734375
2025-07-12 18:31:15.303,135.0,166.6015625
2025-07-12 18:31:15.337,135.0,166.6015625
2025-07-12 18:31:15.372,135.0,166.552734375
2025-07-12 18:31:15.406,135.0,166.5771484375
2025-07-12 18:31:15.439,135.0,166.5771484375
